DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2019-02-22,EQ,267.9,271.9,267.6,268.0,270.8,270.95,270.17,326.4,232.35,12536918,3387154584.6,93599,SBIN
2019-02-21,EQ,270.3,271.0,267.3,267.7,268.0,268.0,269.15,326.4,232.35,13760702,3703727870.6,102689,SBIN
2019-02-20,EQ,264.5,268.3,264.3,262.9,268.0,267.7,266.29,326.4,232.35,15514595,4131307693.7,134477,SBIN
2019-02-19,EQ,260.9,267.5,260.3,259.95,262.75,262.9,264.23,326.4,232.35,19064306,5037317733.65,165374,SBIN
2019-02-18,EQ,264.4,265.5,258.8,262.95,259.5,259.95,262.46,326.4,232.35,14781744,3879557859.25,128502,SBIN
2019-02-15,EQ,268.85,268.85,261.3,267.1,262.8,262.95,264.01,326.4,232.35,23366091,6168997745.45,158152,SBIN
2019-02-14,EQ,268.0,268.35,263.65,268.2,267.5,267.1,266.33,326.4,232.35,26372671,7023938135.7,177357,SBIN
2019-02-13,EQ,276.5,276.7,266.7,275.4,267.0,268.2,271.46,326.4,232.35,18662893,5066196439.7,127592,SBIN
2019-02-12,EQ,280.65,282.2,274.65,280.5,275.1,275.4,279.25,326.4,232.35,15326106,4279748127.0,107018,SBIN
2019-02-11,EQ,285.95,285.95,280.0,286.0,280.45,280.5,282.05,326.4,232.35,15420017,4349291875.1,119512,SBIN
2019-02-08,EQ,285.6,288.0,282.2,287.4,286.55,286.0,285.03,326.4,232.35,19781908,5638351088.45,110716,SBIN
2019-02-07,EQ,289.4,294.0,286.6,289.05,287.0,287.4,290.17,326.4,232.35,19733315,5726002165.4,137834,SBIN
2019-02-06,EQ,285.85,289.75,283.5,284.65,289.45,289.05,286.98,326.4,232.35,12149759,3486779034.75,115663,SBIN
2019-02-05,EQ,284.2,287.0,283.0,283.95,284.5,284.65,285.21,326.4,232.35,13291133,3790708171.5,109065,SBIN
2019-02-04,EQ,282.4,285.2,277.85,284.4,284.1,283.95,282.0,326.4,232.35,20642919,5821380715.35,165027,SBIN
2019-02-01,EQ,296.9,302.7,282.0,293.65,282.6,284.4,291.96,326.4,232.35,60015958,17522247329.9,371608,SBIN
2019-01-31,EQ,290.0,294.8,288.0,287.45,294.8,293.65,291.77,326.4,232.35,25546487,7453807918.9,172059,SBIN
2019-01-30,EQ,281.2,289.4,280.25,280.6,287.35,287.45,285.36,326.4,232.35,18908654,5395790127.2,143925,SBIN
2019-01-29,EQ,281.0,286.0,276.55,281.6,281.45,280.6,282.25,326.4,232.35,17435611,4921152958.0,118187,SBIN
2019-01-28,EQ,285.65,286.6,277.3,285.4,282.5,281.6,281.3,326.4,232.35,18905470,5318155927.45,128898,SBIN
2019-01-25,EQ,289.6,291.0,283.2,288.05,285.65,285.4,288.24,332.75,232.35,11121223,3205631966.7,81514,SBIN
2019-01-24,EQ,286.65,289.9,285.5,286.65,288.15,288.05,287.7,332.75,232.35,11532528,3317949366.85,77968,SBIN
2019-01-23,EQ,290.45,292.95,285.5,290.25,286.2,286.65,289.24,332.75,232.35,10304608,2980486892.45,86994,SBIN
2019-01-22,EQ,293.0,293.0,288.2,292.45,290.85,290.25,290.18,332.75,232.35,11297989,3278440414.65,105223,SBIN
2019-01-21,EQ,295.9,296.75,291.45,294.95,292.3,292.45,294.06,332.75,232.35,10188647,2996093600.5,78580,SBIN
2019-01-18,EQ,298.75,299.85,294.25,297.4,295.3,294.95,297.21,332.75,232.35,9082501,2699375597.4,84248,SBIN
2019-01-17,EQ,303.9,304.35,295.6,303.15,297.4,297.4,298.93,332.75,232.35,15974634,4775250911.6,98812,SBIN
2019-01-16,EQ,303.0,306.65,302.1,301.65,303.0,303.15,304.5,332.75,232.35,12111480,3687969244.3,78064,SBIN
2019-01-15,EQ,302.0,303.6,301.1,300.4,301.65,301.65,302.2,332.75,232.35,9444374,2854071606.6,63046,SBIN
2019-01-14,EQ,301.0,303.6,299.55,302.75,300.5,300.4,301.15,332.75,232.35,10372933,3123839336.9,96381,SBIN
2019-01-11,EQ,305.4,306.2,300.95,305.55,301.65,302.75,303.57,332.75,232.35,12702551,3856075154.25,113356,SBIN
2019-01-10,EQ,305.1,307.5,303.5,305.3,305.4,305.55,305.6,332.75,232.35,16295468,4979912227.75,105369,SBIN
2019-01-09,EQ,306.0,307.1,300.75,305.3,304.75,305.3,304.37,332.75,232.35,21109911,6425242058.2,153567,SBIN
2019-01-08,EQ,295.8,306.0,294.75,296.3,305.5,305.3,301.96,332.75,232.35,22949961,6929908001.7,161941,SBIN
2019-01-07,EQ,301.05,301.5,295.2,297.65,296.55,296.3,298.25,332.75,232.35,14579399,4348321236.3,113554,SBIN
2019-01-04,EQ,292.1,299.0,291.5,291.1,297.3,297.65,296.18,332.75,232.35,19514041,5779686251.85,142962,SBIN
2019-01-03,EQ,295.0,295.55,290.1,293.9,291.05,291.1,292.87,332.75,232.35,17548347,5139324196.85,110626,SBIN
2019-01-02,EQ,299.1,302.5,293.1,299.6,293.8,293.9,298.2,332.75,232.35,25559853,7622009957.55,162196,SBIN
2019-01-01,EQ,297.5,300.7,293.85,295.9,300.7,299.6,296.77,332.75,232.35,11837127,3512877020.1,69723,SBIN
