DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-01-06,EQ,209.95,209.95,203.45,211.85,205.15,205.7,205.46,271.45,177.7,6853058,1408031161.25,54913,COALINDIA
2020-01-03,EQ,210.0,212.6,207.7,211.1,210.65,211.85,210.47,271.45,177.7,6452638,1358096399.7,43299,COALINDIA
2020-01-02,EQ,212.5,212.8,208.3,211.95,210.95,211.1,210.67,271.45,177.7,5958343,1255216017.4,45875,COALINDIA
2020-01-01,EQ,211.35,212.6,208.4,211.35,211.95,211.95,210.71,271.45,177.7,6447592,1358556960.6,48911,COALINDIA
2019-12-31,EQ,205.0,212.45,204.45,205.8,211.45,211.35,209.69,271.45,177.7,10534842,2209056488.75,87636,COALINDIA
2019-12-30,EQ,203.55,206.25,201.2,203.5,205.55,205.8,203.98,271.45,177.7,4696784,958061529.35,31067,COALINDIA
2019-12-27,EQ,198.5,205.5,197.65,197.3,204.2,203.5,201.45,271.45,177.7,5046833,1016692029.8,31761,COALINDIA
2019-12-26,EQ,198.4,201.4,195.2,198.95,200.0,197.3,197.02,271.45,177.7,8630191,1700340505.85,38116,COALINDIA
2019-12-24,EQ,197.8,199.7,197.4,197.25,198.2,198.95,198.66,271.45,177.7,3113553,618551389.9,19508,COALINDIA
2019-12-23,EQ,200.6,202.35,196.3,200.8,197.65,197.25,198.83,271.45,177.7,6665480,1325273138.3,27209,COALINDIA
2019-12-20,EQ,196.85,202.7,196.15,196.9,200.7,200.8,200.37,271.45,177.7,5806708,1163492182.1,45442,COALINDIA
2019-12-19,EQ,197.4,198.1,195.25,197.75,196.9,196.9,196.88,271.45,177.7,2015809,396875099.6,23822,COALINDIA
2019-12-18,EQ,195.85,198.5,194.8,196.2,197.6,197.75,196.94,271.45,177.7,3623918,713679621.6,28488,COALINDIA
2019-12-17,EQ,193.45,196.5,192.05,192.6,195.85,196.2,195.11,271.45,177.7,3652710,712681382.25,31142,COALINDIA
2019-12-16,EQ,197.0,197.3,192.0,196.25,192.75,192.6,194.07,271.45,177.7,3154315,612149268.65,26367,COALINDIA
2019-12-13,EQ,191.7,196.9,191.3,190.15,196.45,196.25,194.62,271.45,177.7,5851149,1138748582.6,38351,COALINDIA
2019-12-12,EQ,188.3,190.85,186.25,187.15,190.45,190.15,188.47,271.45,177.7,8081188,1523033570.55,57043,COALINDIA
2019-12-11,EQ,188.3,189.35,185.0,187.2,187.7,187.15,187.31,271.45,177.7,8520046,1595871573.1,69058,COALINDIA
2019-12-10,EQ,192.0,192.45,186.55,191.65,187.0,187.2,189.09,271.45,177.7,4431410,837933757.2,51913,COALINDIA
2019-12-09,EQ,191.95,193.6,191.0,192.0,191.65,191.65,192.31,271.45,177.7,3992473,767804086.7,26314,COALINDIA
2019-12-06,EQ,196.4,197.0,190.9,196.4,191.45,192.0,193.51,271.45,177.7,5644775,1092310768.15,42194,COALINDIA
2019-12-05,EQ,202.5,203.1,195.65,202.75,195.9,196.4,198.11,271.45,177.7,6745934,1336433694.85,48707,COALINDIA
2019-12-04,EQ,204.6,205.0,201.15,205.6,202.5,202.75,202.76,271.45,177.7,5343182,1083377995.5,39931,COALINDIA
2019-12-03,EQ,206.5,206.7,204.0,205.85,205.15,205.6,205.2,271.45,177.7,2619997,537622811.25,20310,COALINDIA
2019-12-02,EQ,205.2,206.4,202.25,205.25,205.2,205.85,204.23,271.45,177.7,3284647,670834057.5,20667,COALINDIA
2019-11-29,EQ,206.4,208.8,203.85,205.85,204.4,205.25,206.43,271.45,177.7,5422867,1119464642.4,42541,COALINDIA
2019-11-28,EQ,200.55,206.35,199.8,201.0,206.15,205.85,204.08,271.45,177.7,7855291,1603096693.8,51188,COALINDIA
2019-11-27,EQ,197.5,201.7,196.2,197.75,201.1,201.0,199.94,271.45,177.7,4378518,875458709.45,25862,COALINDIA
2019-11-26,EQ,201.0,202.1,196.2,200.7,196.5,197.75,198.73,271.45,177.7,8027053,1595212843.65,41112,COALINDIA
2019-11-25,EQ,199.1,201.65,198.45,199.0,200.25,200.7,200.32,271.45,177.7,3884393,778117128.5,33892,COALINDIA
2019-11-22,EQ,196.95,199.35,196.3,196.6,198.7,199.0,197.81,271.45,177.7,4335573,857634146.15,26801,COALINDIA
2019-11-21,EQ,203.0,203.65,195.8,203.05,196.2,196.6,198.71,271.45,177.7,4650473,924107911.55,49615,COALINDIA
2019-11-20,EQ,199.9,204.0,199.45,199.6,203.1,203.05,202.54,271.45,177.7,4456738,902646693.8,52121,COALINDIA
2019-11-19,EQ,200.95,201.3,198.25,200.3,199.75,199.6,199.27,271.45,177.7,3836452,764501241.9,21846,COALINDIA
2019-11-18,EQ,202.0,202.0,198.25,201.15,200.15,200.3,199.87,271.45,177.7,5894876,1178233506.6,38405,COALINDIA
2019-11-15,EQ,202.95,204.5,200.5,202.35,200.95,201.15,202.13,271.45,177.7,4544919,918684742.8,35523,COALINDIA
2019-11-14,EQ,208.5,208.5,201.75,207.25,202.55,202.35,203.81,271.45,177.7,4889669,996545690.1,38737,COALINDIA
2019-11-13,EQ,215.9,216.0,206.2,209.85,207.1,207.25,210.36,271.45,177.7,12228149,2572295906.85,91159,COALINDIA
2019-11-11,EQ,208.95,210.8,205.75,209.25,209.7,209.85,208.96,271.45,177.7,3485203,728256631.55,26485,COALINDIA
2019-11-08,EQ,212.6,216.0,208.1,212.5,208.95,209.25,211.75,271.85,177.7,6324778,1339265673.2,45248,COALINDIA
2019-11-07,EQ,213.5,213.75,210.9,212.4,213.0,212.5,212.35,271.85,177.7,3529240,749424897.65,32426,COALINDIA
2019-11-06,EQ,211.4,214.85,211.15,211.15,212.5,212.4,213.2,271.85,177.7,4344694,926299190.15,37722,COALINDIA
2019-11-05,EQ,217.0,217.55,209.6,215.0,211.1,211.15,212.66,271.85,177.7,12681517,2696840595.9,99730,COALINDIA
2019-11-04,EQ,206.0,215.6,205.8,207.1,214.95,215.0,211.92,271.85,177.7,8489492,1799089594.4,57309,COALINDIA
2019-11-01,EQ,205.0,208.0,201.85,207.55,206.85,207.1,205.3,289.2,177.7,7118433,1461438175.95,78782,COALINDIA
2019-10-31,EQ,207.0,209.0,206.0,206.25,208.25,207.55,207.32,289.2,177.7,6655719,1379850644.35,39490,COALINDIA
2019-10-30,EQ,210.75,210.95,205.6,209.75,206.05,206.25,206.91,289.2,177.7,4487164,928425606.9,48903,COALINDIA
2019-10-29,EQ,204.0,210.45,199.6,202.85,209.4,209.75,207.52,289.2,177.7,6925785,1437211189.0,74743,COALINDIA
2019-10-27,EQ,206.7,208.8,201.55,205.85,203.0,202.85,204.22,289.2,177.7,755888,154365731.3,8854,COALINDIA
2019-10-25,EQ,206.6,206.95,203.0,205.2,206.2,205.85,205.23,289.2,177.7,5368529,1101789137.75,36060,COALINDIA
2019-10-24,EQ,210.0,210.0,204.4,208.8,205.1,205.2,206.73,289.2,177.7,8470734,1751170300.05,43646,COALINDIA
2019-10-23,EQ,209.4,211.7,206.55,208.8,208.7,208.8,209.04,289.2,177.7,7137614,1492060655.35,52389,COALINDIA
2019-10-22,EQ,206.0,209.95,203.3,205.95,209.95,208.8,206.28,289.2,177.7,9795154,2020511252.95,150851,COALINDIA
2019-10-18,EQ,198.8,206.5,197.75,199.4,206.0,205.95,204.2,289.2,177.7,12709671,2595304179.0,87808,COALINDIA
2019-10-17,EQ,194.0,199.95,192.9,194.55,198.85,199.4,197.58,289.2,177.7,6611768,1306361528.55,62621,COALINDIA
2019-10-16,EQ,192.3,196.2,191.35,191.15,194.2,194.55,194.46,289.2,177.7,7396404,1438305488.75,82432,COALINDIA
2019-10-15,EQ,189.0,192.7,188.05,190.1,191.25,191.15,190.58,289.2,177.7,5459056,1040402823.55,39669,COALINDIA
2019-10-14,EQ,189.6,190.8,187.95,189.05,190.3,190.1,189.78,289.2,177.7,6340044,1203206862.7,46022,COALINDIA
2019-10-11,EQ,185.25,190.25,185.25,184.55,189.0,189.05,188.29,289.2,177.7,7104915,1337792262.6,50351,COALINDIA
2019-10-10,EQ,185.0,185.9,183.7,185.35,184.7,184.55,185.0,289.2,177.7,4047661,748825398.9,29251,COALINDIA
2019-10-09,EQ,184.8,186.7,183.0,184.4,185.7,185.35,185.23,289.2,177.7,5808768,1075934921.0,40309,COALINDIA
